"variable","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var","skewness","skew.2SE","kurtosis","kurt.2SE","normtest.W","normtest.p"
"panss_total",44,46.71388101983,0.668626747344662,1.31500576199595,157.81278972444,12.5623560578595,0.268921266732833,1.11078295631378,4.27804245655831,1.73073383758847,3.34209464603017,0.921841913410343,1.32251633599156e-12
"panss_positive",9,10.2322946175637,0.215844647686047,0.424507330181374,16.4458859129539,4.05535274827652,0.396328770803325,1.53155701236911,5.89860142011737,2.21134828874874,4.27017437102448,0.795017351367383,8.77419087751388e-21
"panss_negative",11,12.2634560906516,0.246278288317424,0.484361969481566,21.4105073396858,4.62714894288976,0.377311983562043,0.897584370352192,3.45693460894724,0.141128378838404,0.272522781420824,0.906378438695974,5.74847332921487e-14
"panss_general",23,24.2181303116147,0.350354433664216,0.689051254438949,43.3301249034252,6.58256218378719,0.271803070637136,1.20321667542499,4.63403943376044,1.68644004893758,3.25656212179824,0.907363786236591,6.94252186218905e-14
