"group","mean_age","sd_age","mean_edu","sd_edu","mean_paredu","sd_paredu","mean_duration","sd_duration"
"control",38.9707317073171,15.8550147306472,14.8382352941176,1.8135529246134,12.75,2.97856665134128,NA,NA
"psychosis",31.7201946472019,11.2117993578225,13.7456359102244,2.37594973791687,13.0506666666667,2.74740389531515,10.5912596401028,8.5225610658157
