metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df
word_mean,10,panss_total,0.14894886193045379,0.044514923806094515,0.2501625346363384,0.005366740515923215,2.8018640607401872,346
word_mean,10,panss_positive,0.19898833548842443,0.09586276584337232,0.29788757769965535,1.8685662016855383e-4,3.7769285520968827,346
word_mean,10,panss_negative,0.09236157239170523,-0.012894639087162861,0.19559335196562905,0.085348333881358,1.7253997188009296,346
word_mean,10,panss_general,0.09695042918005463,-0.008264813596526562,0.2000425005057473,0.07086571347721203,1.8119177892179712,346
word_mean,20,panss_total,0.1702905768013459,0.06649930216355715,0.2704360496923395,0.0014068990010303,3.2191816880010724,347
word_mean,20,panss_positive,0.23930995577397526,0.13779157260050756,0.3358524977301016,6.169588898980403e-6,4.591257686952329,347
word_mean,20,panss_negative,0.0763965755327887,-0.028814611749773712,0.17993357740851276,0.15439794401783186,1.4272817353762872,347
word_mean,20,panss_general,0.12413850164073532,0.019411381490416227,0.2261711142416372,0.020353951411976507,2.3304704864756447,347
word_mean,30,panss_total,0.18367434182024236,0.08024147932996227,0.28319384651532586,5.639344661345954e-4,3.480690350581419,347
word_mean,30,panss_positive,0.25424657539089873,0.15335978444631931,0.349887868930533,1.4944279985568606e-6,4.897007386548059,347
word_mean,30,panss_negative,0.07532738116658488,-0.029889068515316648,0.17889280978918584,0.1602656296886506,1.4071916692630357,347
word_mean,30,panss_general,0.14123100090766524,0.036796471043302345,0.24261398901606224,0.0082368560082435,2.657478838638468,347
word_mean,40,panss_total,0.19283712640838532,0.08967236847234873,0.291907817970458,2.904871014357911e-4,3.660869314434686,347
word_mean,40,panss_positive,0.2639546054634714,0.16350524152086196,0.3589871694047943,5.662652470059008e-7,5.09771959708705,347
word_mean,40,panss_negative,0.07412057881954182,-0.031101518507494118,0.1777178142691489,0.16708837217909925,1.3845218218984132,347
word_mean,40,panss_general,0.15358393837421494,0.04940034206957167,0.25446128465239964,0.0040278387009903445,2.895302792193164,347
word_mean,50,panss_total,0.20400351860733162,0.10134093506685425,0.30236702782663816,1.2134262152037022e-4,3.887387447882811,348
word_mean,50,panss_positive,0.28022516612574006,0.18070368382377164,0.37406643295161573,9.769357750242515e-8,5.445719254763144,348
word_mean,50,panss_negative,0.08265677293254581,-0.022366859197477697,0.18587600251165903,0.12271508215142037,1.5472366339183625,348
word_mean,50,panss_general,0.15872424146132086,0.05480634041192156,0.25924055455683437,0.002903869329669381,2.9989805448579263,348
word_std,10,panss_total,0.09116439362034345,-0.014254995575294957,0.19457938591127416,0.08995988893005194,1.700384100678234,345
word_std,10,panss_positive,0.13654559871345787,0.0317190177965458,0.23840094678238244,0.010886481356050226,2.5602013222992874,345
word_std,10,panss_negative,0.038737448011489754,-0.06681762898075334,0.14343503515123734,0.4719776705145159,0.7200566201405165,345
word_std,10,panss_general,0.06289587087400395,-0.04266924744844948,0.1670721156806617,0.24258498745274798,1.170556542551282,345
word_std,20,panss_total,0.06763036862555595,-0.03746507238095784,0.171246114159032,0.20688845755208315,1.2645233623821504,348
word_std,20,panss_positive,0.1272427563374634,0.02271593482430399,0.2290177517561136,0.017234488743171433,2.3931351881501373,348
word_std,20,panss_negative,0.025482792213106488,-0.07955956540364542,0.1299654338267727,0.6347077824971754,0.47552974769694734,348
word_std,20,panss_general,0.03290924465079067,-0.07216955660627329,0.13726552203378622,0.5394536645165304,0.6142467087635721,348
word_std,30,panss_total,0.0969649423641178,-0.008097576669359495,0.19991007075601255,0.07041663200456978,1.8148084865876621,347
word_std,30,panss_positive,0.14453819762280928,0.04016759532116387,0.24578877951997838,0.0068360757777190155,2.72102113648658,347
word_std,30,panss_negative,0.053151734386459246,-0.05211917469093391,0.15725436551269867,0.3221281479304969,0.9915086565216397,347
word_std,30,panss_general,0.058627687322346744,-0.046639457061482315,0.1626069743396212,0.2747161905229069,1.093994568452555,347
word_std,40,panss_total,0.1408607486859591,0.03596002078619961,0.24269118313002477,0.008696144677930135,2.6388889459329183,344
word_std,40,panss_positive,0.19223280349316033,0.08859362884425066,0.29175431217734404,3.2265712620112416e-4,3.633147929606769,344
word_std,40,panss_negative,0.06436796833160154,-0.04134743373047575,0.1686581416435629,0.23239214094086308,1.1963288717230949,344
word_std,40,panss_general,0.10533909728026143,-9.677008877696562e-5,0.20845866335809876,0.05025584636677038,1.9646799732724856,344
word_std,50,panss_total,0.1463791535008307,0.041586179356104126,0.24798665504944747,0.006378458710175322,2.744490971038311,344
word_std,50,panss_positive,0.18689646267952092,0.08309917164608824,0.2866820732835414,4.745289309577352e-4,3.5285880585233795,344
word_std,50,panss_negative,0.07550277500788152,-0.030172207050780813,0.1795085682141789,0.16110898794192358,1.404376525616509,344
word_std,50,panss_general,0.1113515335990348,0.005987030689047217,0.21427071814883103,0.03843314753803021,2.0781873628816774,344
word_min,10,panss_total,0.005594913228617221,-0.09914335675343722,0.11021056950273703,0.9168141681094034,0.10452324070617089,349
word_min,10,panss_positive,-0.0071729246661455,-0.11176920531319702,0.0975805490110332,0.8934760682148193,-0.1340047385791837,349
word_min,10,panss_negative,-0.004150098031473507,-0.10878304310806057,0.100573798588677,0.9382456422987765,-0.07753089707433214,349
word_min,10,panss_general,0.018043294456962698,-0.08680085692844054,0.1224921383093274,0.7362204709569939,0.337131440466848,349
word_min,20,panss_total,0.12258379305638535,0.017985083610517084,0.22452833137430528,0.021802793378902424,2.3041485099691363,348
word_min,20,panss_positive,0.10864886802264948,0.003863041035168594,0.21107462922499146,0.04221646799223148,2.0388881828162733,348
