metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df,p.value_fdr
mean_perp,10,panss_positive,0.08625044741166804,-0.019053324133696262,0.18966167563788983,0.10823290358503594,1.6103520599460042,346,0.21646580717007188
mean_perp,10,panss_negative,-0.04616123299332784,-0.15056156491601455,0.05925734522334131,0.3906240996590066,-0.8595648623064703,346,0.3993083309764658
mean_perp,20,panss_positive,0.12074361042998148,0.015965898315672536,0.2228983144553738,0.02408042838545048,2.265781324956897,347,0.0602010709636262
mean_perp,20,panss_negative,-0.045256349710353604,-0.14952603980352816,0.06000884390403125,0.3993083309764658,-0.8438970378711956,347,0.3993083309764658
mean_perp,30,panss_positive,0.13937089708533337,0.03490145553886352,0.2408274012342737,0.009132390375192038,2.6217800701984944,347,0.030441301250640127
mean_perp,30,panss_negative,-0.05433712857458911,-0.15841357801373984,0.05093350291096439,0.3114388312890401,-1.0136861263628139,347,0.38929853911130013
mean_perp,40,panss_positive,0.14937266229196336,0.04525141544858193,0.25028337313967064,0.00510652101058709,2.818127538526757,348,0.02553260505293545
mean_perp,40,panss_negative,-0.05558880881242219,-0.1594892324611839,0.049529644150552214,0.29971108705622834,-1.0386017231295774,348,0.38929853911130013
mean_perp,50,panss_positive,0.1568699699894884,0.05291023472424742,0.25746585927567345,0.0032556504763543745,2.9630561574785848,348,0.02553260505293545
mean_perp,50,panss_negative,-0.06047446353821156,-0.16426293976102596,0.04463834813743449,0.2591681937009019,-1.1302050526796246,348,0.38929853911130013
sd_perp,10,panss_positive,0.056031352964274264,-0.04985125600296402,0.1606684807593879,0.2993750161186784,1.0393479845249125,343,0.8005835393896412
sd_perp,10,panss_negative,-0.029590233722742585,-0.13475688210920123,0.07623563209385492,0.5838708057899551,-0.5482588730110634,343,0.8005835393896412
sd_perp,20,panss_positive,0.0517575247087274,-0.05351333114685309,0.15589058238232933,0.33500190507815963,0.9654298421935409,347,0.8005835393896412
sd_perp,20,panss_negative,-0.04446394115664837,-0.14874969374104227,0.060799953257574584,0.40762261676917133,-0.8290914304274599,347,0.8005835393896412
sd_perp,30,panss_positive,0.025086474064239295,-0.08010457843231984,0.129724923713082,0.640466831511713,0.4674563491680064,347,0.8005835393896412
sd_perp,30,panss_negative,-0.02515198590240928,-0.1297893731998924,0.08003944552779521,0.6395942084172783,-0.46867785542679313,347,0.8005835393896412
sd_perp,40,panss_positive,0.03771042446861889,-0.0678414926838476,0.14242752098907302,0.48381380259199225,0.7009386181704994,345,0.8005835393896412
sd_perp,40,panss_negative,0.014025001241407967,-0.09139251730838391,0.11913166227873367,0.7946115936271408,0.26052846046292855,345,0.8829017706968232
sd_perp,50,panss_positive,0.041297809500586,-0.06411154602467635,0.14579581440294678,0.4425130298819654,0.7688395728914564,346,0.8005835393896412
sd_perp,50,panss_negative,0.006296054715162218,-0.09890041220887834,0.11135335245387143,0.9068363129824202,0.11711570873185931,346,0.9068363129824202
min_perp,10,panss_positive,-0.03855208695017403,-0.14265658033372877,0.06639606773054445,0.47154692231018724,-0.7207482297065826,349,0.7859115371836455
min_perp,10,panss_negative,0.016556758727943644,-0.08827644293501442,0.1210272026627289,0.7572412887661975,0.3093481816010414,349,0.8638846273613298
min_perp,20,panss_positive,0.043343497728920204,-0.06161627203387065,0.1473551211937179,0.4182137796908143,0.8104850302247129,349,0.7859115371836455
min_perp,20,panss_negative,0.019778116725571553,-0.08507823134501334,0.12420117746002185,0.7119359821075489,0.3695579999955926,349,0.8638846273613298
min_perp,30,panss_positive,0.06624211591771238,-0.03870648812337655,0.16974526584156005,0.21572390697397173,1.2402289152510355,349,0.6986335566383415
min_perp,30,panss_negative,-0.0151363176264711,-0.11962697596699652,0.08968599142121757,0.7774961646251968,-0.28280214679497934,349,0.8638846273613298
min_perp,40,panss_positive,0.008770821300939521,-0.09614740646458261,0.11349629349405937,0.870122256906775,0.16362384345333958,348,0.870122256906775
min_perp,40,panss_negative,-0.05796992058954533,-0.16181639179362095,0.04714641270189858,0.27945342265533657,-1.0832364921852258,348,0.6986335566383415
min_perp,50,panss_positive,0.05947274198740043,-0.04564163722516339,0.16328456719065249,0.2671562000077394,1.1114169015051876,348,0.6986335566383415
min_perp,50,panss_negative,-0.07169164172404366,-0.17520472983155372,0.033389117233736484,0.18084681695325933,-1.3408404266055676,348,0.6986335566383415
max_perp,10,panss_positive,0.061081466902221486,-0.04479511491002295,0.16560110873605285,0.2578543134873809,1.1333608274926354,343,0.6853205391701622
max_perp,10,panss_negative,-0.09420857513013749,-0.1978284016029879,0.011493431017325424,0.08057072548251695,-1.752561778242554,343,0.6853205391701622
max_perp,20,panss_positive,0.046799745528058656,-0.05939003889852768,0.151942192706367,0.38755880170174883,0.8651607373738324,341,0.6853205391701622
max_perp,20,panss_negative,-0.037049186839926564,-0.14238601253467248,0.06911743890737822,0.49404425734628654,-0.6846271853194553,341,0.6853205391701622
max_perp,30,panss_positive,0.020465649259660417,-0.084545561312014,0.125027240154389,0.7027970072774522,0.38186171481515907,348,0.7808855636416135
max_perp,30,panss_negative,-0.051989924140669115,-0.1559697001486954,0.053129462099700965,0.33213672539062955,-0.9711728638413637,348,0.6853205391701622
max_perp,40,panss_positive,-7.06554145471819e-4,-0.1055285635028124,0.10413098426432447,0.9894912602435431,-0.013180599962695624,348,0.9894912602435431
max_perp,40,panss_negative,-0.041964997048934964,-0.14615187380445063,0.06314260448521195,0.43384470941623876,-0.7835371012001534,348,0.6853205391701622
