metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df
word_mean,10,panss_total,0.06638595345064097,-0.03871328677726001,0.1700324842793221,0.2153856362160475,1.2411518601737004,348
word_mean,10,panss_positive,0.1838530311239785,0.08057617271700017,0.2832241971717487,5.4666547108332e-4,3.4892118204523763,348
word_mean,10,panss_negative,-0.03531976476220737,-0.13963259168732706,0.06976838283644195,0.5101436504970092,-0.6592930256749544,348
word_mean,10,panss_general,0.03833998850702363,-0.06675814977503607,0.14259669318253393,0.47462603185129293,0.7157494645067263,348
word_mean,20,panss_total,0.06618775917872131,-0.038912055865588414,0.1698391640593053,0.21676174033391984,1.2374300910335867,348
word_mean,20,panss_positive,0.19634571052663805,0.0934391319419157,0.29510149554974063,2.1885695055595745e-4,3.735494126876813,348
word_mean,20,panss_negative,-0.057188311913052216,-0.16105262052889913,0.04792884913287597,0.28599829873887117,-1.0685829581961883,348
word_mean,20,panss_general,0.04727429736916248,-0.057842180023298176,0.15135404922004292,0.3779118236976101,0.8828776875377458,348
word_mean,30,panss_total,0.06135778053158899,-0.04375347293602847,0.16512549825579306,0.25226236640429045,1.1467752660222266,348
word_mean,30,panss_positive,0.20002004785208596,0.09722892479487207,0.29858903860394853,1.6536672405226006e-4,3.8082841593103858,348
word_mean,30,panss_negative,-0.07348446111285423,-0.1769511676332848,0.0315887037883737,0.1701551146705106,-1.374551135086751,348
word_mean,30,panss_general,0.0473423270886692,-0.05777422555742616,0.1514206689254141,0.37722511169074935,0.8841510378902739,348
word_mean,40,panss_total,0.06221462060703841,-0.04289496375021693,0.16596205041386353,0.2456865839364802,1.162851380637976,348
word_mean,40,panss_positive,0.2056708611894003,0.10306312185630284,0.3039474460007785,1.0640768262970772e-4,3.920556878703808,348
word_mean,40,panss_negative,-0.08297051306543021,-0.18618097670876008,0.022051108362769363,0.12129620627801843,-1.5531501086586124,348
word_mean,40,panss_general,0.0522366001037957,-0.05288280935221892,0.15621102142748103,0.32984468922889265,0.9757933539501542,348
word_mean,50,panss_total,0.062455426118730444,-0.04265366120788615,0.1661971273522557,0.2438602724138397,1.1673698595189437,348
word_mean,50,panss_positive,0.20857456845063613,0.10606381059559596,0.30669848218685997,8.443944002778563e-5,3.9784073552007713,348
word_mean,50,panss_negative,-0.08920092836028154,-0.19223319718280632,0.01577642129942956,0.09568362499491384,-1.6706816603985202,348
word_mean,50,panss_general,0.05532799429069939,-0.0497906181306452,0.15923425741839398,0.30198781915237144,1.0337137582334501,348
word_std,10,panss_total,0.07559228340582447,-0.029928473280189518,0.1794467172058564,0.1600039382700277,1.408093169469649,345
word_std,10,panss_positive,0.1700392534253221,0.06593710114663046,0.27047965031750465,0.001476647452740644,3.205012625367106,345
word_std,10,panss_negative,-0.016619192196585864,-0.12168884130134638,0.08881878447056195,0.7577129344768431,-0.3087304327774563,345
word_std,10,panss_general,0.051035882890914104,-0.054539738867902254,0.15548301273534412,0.34319022812607025,0.9491864123575151,345
word_std,20,panss_total,0.037182726630855825,-0.06867457027243695,0.14221207460230215,0.4912197607579377,0.6891102653689475,343
word_std,20,panss_positive,0.1754635618979202,0.07119489685880008,0.27593897635906706,0.0010652977586425101,3.3008401205173596,343
word_std,20,panss_negative,-0.0778001914920857,-0.18189366002983537,0.02801764416084255,0.14929775513431834,-1.4452603357055194,343
word_std,20,panss_general,0.018541039842647263,-0.0872173840430875,0.12388618514291105,0.7314749528498229,0.34344390126177887,343
word_std,30,panss_total,0.005801328752280231,-0.0996944431407693,0.11116812404814982,0.9143753839129363,0.10760042991500608,344
word_std,30,panss_positive,0.1257411073467647,0.020579142471215707,0.22815118840255588,0.019296679425892038,2.350808271882513,344
word_std,30,panss_negative,-0.0967278015149645,-0.20012165824912487,0.008796704058699365,0.0723442156252381,-1.802485543300191,344
word_std,30,panss_general,0.002560525571301007,-0.10290204733942748,0.10796617070918277,0.9621495973407928,0.047490830274524956,344
word_std,40,panss_total,0.00040758000674675333,-0.10518462460536283,0.10599069659884414,0.9939816235046093,0.007548487987480518,343
word_std,40,panss_positive,0.1283766348051065,0.02310210568757928,0.23083534182382898,0.01704591749134452,2.397405917683764,343
word_std,40,panss_negative,-0.10166866825535506,-0.20505508831825556,0.003961536623221221,0.05923447661976439,-1.8927376546932364,343
word_std,40,panss_general,-0.005438479747383985,-0.11096243901746095,0.10020674056232046,0.9198287698190383,-0.1007235440171414,343
word_std,50,panss_total,0.0084321722426253,-0.09678462935759542,0.11346259331066393,0.8754521500370287,0.15685304664746616,346
word_std,50,panss_positive,0.13304561034936002,0.028310593104851674,0.23489114033089661,0.012989518657882712,2.496989857775741,346
word_std,50,panss_negative,-0.09648012485735234,-0.1995867101034366,0.008739524292826435,0.07225099619546145,-1.8030454284030193,346
word_std,50,panss_general,0.003219456015709409,-0.10194605281623793,0.10831379932201442,0.9522812795150806,0.05988565392792249,346
word_min,10,panss_total,-0.047720842859469384,-0.15164352265818506,0.057245326052559206,0.37273152812292565,-0.8925157483177955,349
word_min,10,panss_positive,-0.05128118809802136,-0.1551286421518843,0.05368721563108049,0.3380849066393973,-0.9592738138970199,349
word_min,10,panss_negative,-0.02566721102057608,-0.12999812972265154,0.07922586092782251,0.6317688413502923,-0.4796611005755948,349
word_min,10,panss_general,-0.041627241453294155,-0.14567266981572352,0.06332892140182543,0.4368984970612707,-0.7783356997826156,349
word_min,20,panss_total,-0.02007106048066202,-0.12463864071728559,0.08493747750112352,0.7082632657353285,-0.3744962182264797,348
