metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df
word_mean,10,panss_total,0.006506150529869366,-0.09869235855701097,0.11156084681630972,0.9037423104063224,0.12102395701298868,346
word_mean,10,panss_positive,0.08625044741166804,-0.019053324133696262,0.18966167563788983,0.10823290358503594,1.6103520599460042,346
word_mean,10,panss_negative,-0.04616123299332784,-0.15056156491601455,0.05925734522334131,0.3906240996590066,-0.8595648623064703,346
word_mean,10,panss_general,-0.008287476306586111,-0.11331974782796711,0.09692797789843119,0.8775724626622272,-0.1541612644729834,346
word_mean,20,panss_total,0.030589708888924077,-0.07463004199714897,0.13513583642547883,0.568985624422091,0.5700899273848735,347
word_mean,20,panss_positive,0.12074361042998148,0.015965898315672536,0.2228983144553738,0.02408042838545048,2.265781324956897,347
word_mean,20,panss_negative,-0.045256349710353604,-0.14952603980352816,0.06000884390403125,0.3993083309764658,-0.8438970378711956,347
word_mean,20,panss_general,0.015847715419376227,-0.08928091140607758,0.12062711938720813,0.7679815446405536,0.2952473067610873,347
word_mean,30,panss_total,0.041220558588493585,-0.06403664025195784,0.14557071555779127,0.44270867753544596,0.768507103715102,347
word_mean,30,panss_positive,0.13937089708533337,0.03490145553886352,0.2408274012342737,0.009132390375192038,2.6217800701984944,347
word_mean,30,panss_negative,-0.05433712857458911,-0.15841357801373984,0.05093350291096439,0.3114388312890401,-1.0136861263628139,347
word_mean,30,panss_general,0.03105173048799056,-0.07417014099269087,0.1355898236081603,0.5631611640688969,0.5787087141767642,347
word_mean,40,panss_total,0.04547315642019728,-0.05964097434998778,0.14958989554741792,0.3963709460370811,0.849169147034464,348
word_mean,40,panss_positive,0.14937266229196336,0.04525141544858193,0.25028337313967064,0.00510652101058709,2.818127538526757,348
word_mean,40,panss_negative,-0.05558880881242219,-0.1594892324611839,0.049529644150552214,0.29971108705622834,-1.0386017231295774,348
word_mean,40,panss_general,0.03384933148943337,-0.07123325964089708,0.13818880527708427,0.5279238003756195,0.6318131532978246,348
word_mean,50,panss_total,0.04910346962151487,-0.056014692104588544,0.15314498022779224,0.35971507231901323,0.9171196721274077,348
word_mean,50,panss_positive,0.1568699699894884,0.05291023472424742,0.25746585927567345,0.0032556504763543745,2.9630561574785848,348
word_mean,50,panss_negative,-0.06047446353821156,-0.16426293976102596,0.04463834813743449,0.2591681937009019,-1.1302050526796246,348
word_mean,50,panss_general,0.03958830806759279,-0.06551340050727568,0.14382127034125883,0.46035074225303696,0.7390897012374479,348
word_std,10,panss_total,0.00273779510713807,-0.10287962301661256,0.10829416765460838,0.9595902142914087,0.05070486498903024,343
word_std,10,panss_positive,0.056031352964274264,-0.04985125600296402,0.1606684807593879,0.2993750161186784,1.0393479845249125,343
word_std,10,panss_negative,-0.029590233722742585,-0.13475688210920123,0.07623563209385492,0.5838708057899551,-0.5482588730110634,343
word_std,10,panss_general,-0.008561826432743376,-0.11404640376517455,0.09711364451857277,0.8740985786456219,-0.15857305676208885,343
word_std,20,panss_total,-0.023275390954387933,-0.12794285929063454,0.08190483027553447,0.6647830770753285,-0.4336899836603403,347
word_std,20,panss_positive,0.0517575247087274,-0.05351333114685309,0.15589058238232933,0.33500190507815963,0.9654298421935409,347
word_std,20,panss_negative,-0.04446394115664837,-0.14874969374104227,0.060799953257574584,0.40762261676917133,-0.8290914304274599,347
word_std,20,panss_general,-0.04528824274350424,-0.14955728365887833,0.05997700039286421,0.39897583669541525,-0.8444929704307872,347
word_std,30,panss_total,-0.023168246893518925,-0.12783741080248395,0.08201131205691237,0.6662330186251035,-0.43169249543867044,347
word_std,30,panss_positive,0.025086474064239295,-0.08010457843231984,0.129724923713082,0.640466831511713,0.4674563491680064,347
word_std,30,panss_negative,-0.02515198590240928,-0.1297893731998924,0.08003944552779521,0.6395942084172783,-0.46867785542679313,347
word_std,30,panss_general,-0.041575945184391484,-0.1459191503315512,0.06368209530478408,0.4387823127860657,-0.7751442776103008,347
word_std,40,panss_total,0.01987016545797128,-0.08559145978180561,0.12489146419377836,0.7122462301563915,0.36914482355035094,345
word_std,40,panss_positive,0.03771042446861889,-0.0678414926838476,0.14242752098907302,0.48381380259199225,0.7009386181704994,345
word_std,40,panss_negative,0.014025001241407967,-0.09139251730838391,0.11913166227873367,0.7946115936271408,0.26052846046292855,345
word_std,40,panss_general,0.005035904360771258,-0.10029984334928758,0.11026001471841235,0.92552969853215,0.09353895810462928,345
word_std,50,panss_total,0.017453235207384725,-0.08783894206879964,0.12235972396762404,0.7456055696541859,0.32469839907067155,346
word_std,50,panss_positive,0.041297809500586,-0.06411154602467635,0.14579581440294678,0.4425130298819654,0.7688395728914564,346
word_std,50,panss_negative,0.006296054715162218,-0.09890041220887834,0.11135335245387143,0.9068363129824202,0.11711570873185931,346
word_std,50,panss_general,0.0037454250073040546,-0.10142551603097916,0.10883357436511633,0.9444970284345668,0.06966942102846456,346
word_min,10,panss_total,-0.028371870728703518,-0.1326580838050069,0.07653564211066172,0.5962801421131758,-0.5302437421803196,349
word_min,10,panss_positive,-0.03855208695017403,-0.14265658033372877,0.06639606773054445,0.47154692231018724,-0.7207482297065826,349
word_min,10,panss_negative,0.016556758727943644,-0.08827644293501442,0.1210272026627289,0.7572412887661975,0.3093481816010414,349
word_min,10,panss_general,-0.042317067766810115,-0.14634898104095023,0.0626406191297551,0.4293315303266618,-0.7912568485923698,349
word_min,20,panss_total,0.032170354790858224,-0.07275485845195293,0.13639124775212974,0.5480285085489449,0.6013030586345119,349
